test_month,windows,trade_windows,return_pct,mean_window_return_pct,worst_window_return_pct
2022-12,1,0,0.0,0.0,0.0
2023-01,1,0,0.0,0.0,0.0
2023-02,1,0,0.0,0.0,0.0
2023-03,1,0,0.0,0.0,0.0
2023-04,1,0,0.0,0.0,0.0
2023-05,1,0,0.0,0.0,0.0
2023-06,1,0,0.0,0.0,0.0
2023-07,1,0,0.0,0.0,0.0
2023-08,1,0,0.0,0.0,0.0
2023-09,1,0,0.0,0.0,0.0
2023-10,1,0,0.0,0.0,0.0
2023-11,1,0,0.0,0.0,0.0
2023-12,1,0,0.0,0.0,0.0
2024-01,1,0,0.0,0.0,0.0
2024-02,1,0,0.0,0.0,0.0
2024-03,1,0,0.0,0.0,0.0
2024-04,1,1,-0.49542126463127945,-0.49542126463127945,-0.49542126463127945
2024-05,1,0,0.0,0.0,0.0
2024-06,1,0,0.0,0.0,0.0
2024-07,1,0,0.0,0.0,0.0
2024-08,1,0,0.0,0.0,0.0
2024-09,1,0,0.0,0.0,0.0
2024-10,1,0,0.0,0.0,0.0
2024-11,1,0,0.0,0.0,0.0
2024-12,1,0,0.0,0.0,0.0
2025-01,1,0,0.0,0.0,0.0
2025-02,1,0,0.0,0.0,0.0
2025-03,1,0,0.0,0.0,0.0
2025-04,1,0,0.0,0.0,0.0
2025-05,1,0,0.0,0.0,0.0
2025-06,1,0,0.0,0.0,0.0
2025-07,1,0,0.0,0.0,0.0
2025-08,1,0,0.0,0.0,0.0
2025-09,1,0,0.0,0.0,0.0
2025-10,1,0,0.0,0.0,0.0
2025-11,1,0,0.0,0.0,0.0
2025-12,1,0,0.0,0.0,0.0
2026-01,1,0,0.0,0.0,0.0
2026-02,1,0,0.0,0.0,0.0
2026-03,1,0,0.0,0.0,0.0
2026-04,1,0,0.0,0.0,0.0
2026-05,1,0,0.0,0.0,0.0
